,ano_periodo,reprovado
0,2009.1,0.0
1,2009.2,0.0
2,2011.2,0.0
3,2013.1,0.0
4,2014.1,1.0
5,2014.2,1.0
6,2015.1,0.20502549162418063
7,2015.2,0.15787604333155744
8,2016.1,0.25244354566902594
9,2016.2,0.22013292267790566
10,2017.1,0.2851292190368592
11,2017.2,0.20094871034687223
12,2018.1,0.17229424178474526
13,2018.2,0.1743119266055046
14,2019.1,0.13530810020113365
15,2019.2,0.11458017581085177
16,2020.1,0.0751729338097892
17,2020.2,0.10624606560816954
18,2021.1,0.21697099892588614
19,2021.2,0.25973069640227225
20,2022.1,0.2684797768479777
21,2022.2,0.21466872671089704
22,2023.1,0.03294509151414309
23,2023.2,0.05127964897487547
24,2024.1,0.0578773714599945
25,2024.2,0.2829971181556196
